법정동,단지명,floor,지번,area,transaction_price,construction_year,deal_year,위도,경도,가장 가까운 학교,school_distance,가장 가까운 역,subway_distance,가장 가까운 마트,mart_distance,construction_company,단지 고유번호,number_of_buildings,total_floors
교북동,경희궁자이(4단지),7,126,33.982,"85,000",2017,2021,37.5715566,126.9614259,대신고등학교,219,독립문역 3호선,447,농협하나로유통 풍기인삼하나로마트 서대문점,151,GS건설,1.11E+13,3,19
내수동,경희궁파크팰리스,5,95,147.62,"175,000",2003,2021,37.574191,126.9705893,서울매동초등학교,497,경복궁역 3호선,327,서서울농협하나로마트 사직점,77,삼성건설,1.11E+13,3,16
내수동,경희궁의아침4단지,7,73,124.17,"170,000",2004,2023,37.5726327,126.9722416,서울덕수초등학교,489,경복궁역 3호선,374,서서울농협하나로마트 사직점,304,쌍용,1.11E+13,1,16
무악동,현대,2,82,60,"70,000",2000,2023,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
무악동,인왕산아이파크,2,60,84.858,"120,000",2008,2021,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,1.11E+13,17,15
무악동,경희궁롯데캐슬,2,89,59.6737,"110,000",2019,2022,37.5738242,126.9593223,서울독립문초등학교,99,독립문역 3호선,143,GS더프레시 무악현대점,61,롯데건설,1.11E+13,4,15
사직동,광화문스페이스본(101동~105동),5,9,95.88,"134,000",2008,2021,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,1.11E+13,5,14
숭인동,롯데캐슬천지인,26,76,84.95,"112,000",2004,2021,37.5738554,127.0161891,오디세이학교,275,동묘앞역 1호선,72,홈플러스익스프레스 숭인점,38,롯데건설,1.11E+13,2,30
숭인동,종로센트레빌,8,02월 01일,59.92,"89,800",2008,2022,37.5809832,127.0159311,서울명신초등학교,165,창신역 6호선,182,GS더프레시 성북보문점,282,동부건설,1.11E+13,6,12
숭인동,종로청계힐스테이트,2,766,59.9426,"85,000",2009,2022,37.5760349,127.0211589,서울장로회신학,189,신설동역 우이신설선,189,GS더프레시 성북보문점,516,현대건설,1.11E+13,6,13
숭인동,할리우드파크아파트,4,56-135,75.25,"52,000",2014,2021,37.5788621,127.018119,서울동신초등학교,443,창신역 6호선,256,GS더프레시 성북보문점,184,알 수 없음,1.11E+13,1,7
익선동,현대뜨레비앙,5,55,46.64,"31,700",2003,2022,37.5751303,126.990057,서울교동초등학교,168,종로3가역 5호선,283,,,현대건설,1.11E+13,1,9
인의동,효성쥬얼리시티,17,Feb-48,84.7,"79,000",2006,2023,37.571498,126.9986561,서울효제초등학교,431,종로5가역 1호선,261,노브랜드 동대문두타몰점,939,효성건설,1.11E+13,1,19
창신동,창신쌍용2,2,703,54.7,"62,900",1993,2021,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,1.11E+13,7,13
창신동,덕산,1,639-50,59.28,"61,700",1999,2021,37.5761168,127.0099201,서울창신초등학교,386,동대문역 1호선,497,홈플러스익스프레스 숭인점,582,알 수 없음,1.11E+13,1,6
창신동,두산,14,232,59.95,"79,500",1999,2021,37.574221,127.0142935,서울창신초등학교,198,동묘앞역 1호선,214,홈플러스익스프레스 숭인점,143,알 수 없음,1.11E+13,3,23
평동,경희궁자이(3단지),4,233,59.8547,"141,000",2017,2023,37.568605,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,1.11E+13,8,20
홍파동,경희궁자이(2단지),14,199,59.8547,"155,000",2017,2023,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11E+13,14,21
